item.copper_pickaxe 铜镐
item.dart 飞镖
item.wand 魔杖
item.wand.desc 用于选择两个点以执行指令。
item.frozen_stone 冻结石
item.grass_tall_snowy 雪地高草
item.grass_tall_dry 枯草
item.dead_bush 枯灌木
item.desert_bush 沙漠灌木
item.agave 龙舌兰
item.cactus_flower 仙人掌花
item.cactus_small 小型仙人掌
item.cactus 仙人掌
item.maple_sapling 枫树树苗
item.oak_sapling 橡树树苗
item.birch_sapling 白桦树苗
item.frost_algae 霜藻
item.slime_algae 史莱姆藻
item.pine_leaves 松叶
item.forest_pickaxe 森林镐
item.forest_pickaxe.desc 永远直直往下挖 :)
item.entwiner 纠缠器
item.entwiner.desc 以魔法将触发器与目标连接。
item.heart_beet 心甜菜
item.heart_beet.desc 最大生命值增加1颗心！
item.iron_chest 铁箱
item.gold_chest 金箱
item.dungeon_bricks 森林地牢砖
item.dungeon_grate 森林地牢栅栏
item.dungeon_lamp 地牢灯
item.dungeon_lamp_blue 蓝色地牢灯
item.dungeon_pressure_plate 地牢压力板
item.dungeon_door 地牢门
item.pressure_plate 压力板
item.button 按钮
item.splitter 分流器
item.splitter.desc 将信号分流到相邻方块。
item.pulser 脉冲器
item.pulser.desc 延长纠缠脉冲。
item.dart_trap 飞镖陷阱
item.dart_trap.desc 发射毒镖。
item.thorn_blade 荆棘之刃
item.regen_charm 再生之石
item.regen_charm.desc 每4秒恢复1点生命值。
item.jet_boots 喷气靴
item.jet_boots.desc 空中再次跳跃可激活，燃料持续1秒。
item.spring_boots 弹簧靴
item.spring_boots.desc 跳跃高度提升至2米。
item.paraglider 滑翔伞
item.paraglider.desc 从高处缓慢下降。
item.jumping_bean 跳跳豆
item.jumping_bean.desc 近战伤害提高20%，但有代价。
item.sneakers 运动鞋
item.sneakers.desc 让你悄悄移动。
item.gecko_gloves 壁虎手套
item.gecko_gloves.desc 穿戴后可攀爬墙面。
item.speed_boots 疾跑之靴
item.speed_boots.desc 穿戴后获得奔跑的能量。
item.oak_log 橡木原木
item.pine_log 松木原木
item.pine_sapling 松树树苗
item.birch_planks 白桦木板
item.maple_planks 枫木板
item.pine_planks 松木板
item.framed_glass 镶框玻璃
item.red_brick 红砖
item.lamp_cyan 青色灯
item.lamp_magenta 品红色灯
item.lamp_yellow 黄色灯
item.copper_bars 铜栏杆
item.iron_bars 铁栏杆
item.silver_bars 银栏杆
item.gold_bars 金栏杆
item.concrete 混凝土
item.concrete.desc 移动速度提升1.2倍
item.asphalt 沥青
item.asphalt.desc 移动速度提升1.2倍
item.thick_birch_log 粗白桦原木
item.thick_maple_log 粗枫木原木
item.thick_oak_log 粗橡木原木
item.thick_pine_log 粗松木原木
item.trampoline 蹦床
item.trampoline.desc 可将你弹得很高。
item.launch_pad 发射台
item.launch_pad.desc 将你发射到空中。
item.cloth 布料
item.cloth_light_grey 浅灰色布料
item.cloth_dark_grey 深灰色布料
item.cloth_black 黑色布料
item.cloth_red 红色布料
item.cloth_orange 橙色布料
item.cloth_yellow 黄色布料
item.cloth_lime 青柠色布料
item.cloth_green 绿色布料
item.cloth_cyan 青色布料
item.cloth_blue 蓝色布料
item.cloth_dark_blue 深蓝色布料
item.cloth_purple 紫色布料
item.cloth_pink 粉色布料
item.cloth_light_pink 浅粉色布料
item.cloth_brown 棕色布料

item.weak_health_potion 弱效生命药水
item.weak_health_potion.desc 恢复10点生命值
item.poison_potion 剧毒药水
item.poison_potion.desc 不建议饮用！
item.speed_potion 速度药水
item.regen_potion 再生药水
item.regen_potion.desc 在5分钟内缓慢恢复生命值。
item.armour_potion 护甲药水
item.armour_potion.desc 在5分钟内防御提高4点。
item.respawn_potion 归返药水
item.respawn_potion.desc 归返药水
item.flight_potion 飞行药水
item.flight_potion.desc 在1分钟内可进行短暂火箭冲刺。
item.cure_cube 净化方块
item.cure_cube.desc 装备后免疫中毒。
item.cotton_plant 棉花植株
item.cotton_plant.desc 可种植并收获。
item.decoration_station 装饰台
item.decoration_station.desc 用于制作装饰方块。
item.dungeon_spawner 地牢刷怪笼
item.copper_bow 铜弓
item.iron_bow 铁弓
item.silver_bow 银弓
item.gold_bow 金弓
item.copper_crossbow 铜弩
item.iron_crossbow 铁弩
item.silver_crossbow 银弩
item.gold_crossbow 金弩
item.reinforced_arrow 强化箭
item.flaming_arrow 火焰箭
item.explosive_arrow 爆炸箭
item.root_arrow 根箭
item.rock_melon 石瓜
item.watermelon 西瓜
item.brick 砖块
item.brick.desc 用来砸你不喜欢的东西。
item.throwable_torch 粘性火把
item.throwable_torch.desc 可投掷以照亮洞穴。
item.squeaky_toy 吱吱玩具
item.whoopee_cushion 放屁坐垫
item.air_horn 气喇叭
item.glow_worms 萤光虫
item.heart_beet_block 心甜菜（方块）
item.sandstone_brick_small 小型砂岩砖
item.toy_crate 玩具箱
item.sprinkler 洒水器
item.soil 干土
item.wet_soil 湿土
item.arrow_root_seed 根箭种子
item.bomb_berry_seed 爆浆莓种子
item.rock_melon_seed 石瓜种子
item.watermelon_seed 西瓜种子
item.frying_pan 平底锅
item.boomerang 回旋镖
item.throwable_glow_bean 发光豆
item.watering_can 洒水壶
item.watering_can.desc 永远是满的，因为魔法。
item.hoe 锄头
item.tomato 番茄
item.bread 面包
item.wheat 小麦
item.bomb_berry 爆浆莓
item.bomb_berry.desc 警告：请勿在屋内食用。
item.ominous_deer_skull 不祥鹿头骨
item.oak_leaves 橡树叶
item.placed_glow_bean 发光豆（方块）
item.weapon_crate 武器箱
item.forest_chest 森林宝箱
item.tomato_seed 番茄种子
item.wheat_seed 小麦种子
item.glow_bean_seed 发光豆种子
item.weeds 杂草
item.spider_web 蜘蛛网
item.pizza_cutter 披萨刀
item.crowbar 撬棍
item.melon_slicer 切瓜刀
item.forest_axe 森林斧
item.snowball_cannon 雪球炮
item.snowball 雪球
item.forest_ingot 森林锭
item.eightball 八号球
item.dice 骰子
item.basketball 篮球
item.bucket 水桶
item.water_bucket 水桶（水）
item.lava_bucket 水桶（岩浆）
item.sponge 海绵
item.lava_sponge 岩浆海绵
item.forest_blessing 森林祝福
item.forest_blessing.desc 额外获得2秒体力。
item.minecart 矿车
item.minecart.desc 放置在铁轨上即可乘坐。
item.underground_bush 地下灌木
item.undergrowth_rock 地下岩石
item.forest_flower 森林之花
item.lava_lily 岩浆百合
item.bubble_glass 气泡玻璃
item.undergrowth_crate 地下丛林箱
item.spike_trap 尖刺陷阱
item.dynamite_trap 炸药陷阱
item.basket_hoop 篮球框
item.rail 铁轨
item.painting_child 绘画元数据物品
item.painting_melon 画作（甜瓜）
item.painting_melon.desc 静物……还是自画像？
item.painting_triangle 画作（三角形）
item.painting_triangle.desc 生命的基本构成单元。
item.painting_stars 画作（星空）
item.painting_pipes 画作（管道）
item.painting_cloud 画作（粉色云朵）
item.painting_waves 画作（海浪）
item.painting_biome 画作（生物群系）
item.painting_deer 画作（鹿）
item.spawn_pointer 重生指针
item.spawn_pointer.desc 右键设置重生点。
item.forest_helmet 森林头盔
item.forest_chestplate 森林胸甲
item.forest_greaves 森林护腿
item.skull_fragment 头骨碎片

item.cobalt_pickaxe 钴镐
item.cobalt_sword 钴剑
item.arctic_blade 极地之刃
item.big_sword 巨剑
item.baguette 法棍
item.frosted_boomerang 冰霜回旋镖
item.cobalt_spear 钴长矛
item.cobalt_axe 钴斧
item.cobalt_helmet 钴头盔
item.cobalt_chestplate 钴胸甲
item.cobalt_greaves 钴护腿
item.cobalt_bow 钴弓
item.cobalt_crossbow 钴弩
item.snowball_splitter 雪球分裂器
item.flamethrower 火焰喷射器
item.fart_gun 放屁枪
item.cobalt_ingot 钴锭
item.copper_coin 铜代币
item.silver_coin 银代币
item.gold_coin 金代币
item.allumerium_coin 阿鲁梅里代币
item.mining_potion 采矿药水
item.mint 薄荷
item.red_meat 生肉
item.steak 牛排
item.red_mushroom_item 红蘑菇
item.glowing_mushroom_item 发光蘑菇
item.magnet 磁铁
item.magnet.desc 吸引4米内的物品。
item.scuba_helmet 潜水头盔
item.scuba_helmet.desc 可在水下呼吸。
item.curse_of_core 核心诅咒
item.curse_of_core.desc 可能带来痛苦与折磨。
item.cosmic_radiation 宇宙辐射
item.cosmic_radiation.desc 可能导致位翻转。
item.paint_roller 油漆滚筒
item.paint_roller_earthy 油漆滚筒（大地色调）
item.paint_roller_pastel 油漆滚筒（粉彩色调）
item.wallpaper 壁纸
item.wallpaper.desc 只能用于石膏墙。
item.permafrost 永冻土
item.cobalt_ore 钴矿石
item.amethyst_ore 紫水晶
item.sapphire_ore 蓝宝石
item.diamond_ore 钻石
item.cobalt_plated_stone 镀钴石块
item.alpha_shop Alpha商店
item.alpha_shop.desc （添加NPC后将移除）
item.white_torch 白色火把
item.ice_crate 冰箱
item.ice_chest 冰宝箱
item.table 桌子
item.chair 椅子
item.basic_lamp 灯
item.snow_dungeon_bricks 雪地牢砖
item.snow_dungeon_lamp 雪地牢灯
item.pressure_plate_small 小型压力板
item.icycle 冰锥
item.switch 开关
item.cobalt_bars 钴栏杆
item.drywall 石膏墙
item.cotton_candy 棉花糖
item.amethyst_block 紫水晶块
item.sapphire_block 蓝宝石块
item.diamond_block 钻石块
item.mint_seed 薄荷种子
item.painting_blue 画作（蓝色）
item.painting_city 画作（城市）
item.painting_desolate 画作（荒芜）
item.painting_figure 画作（人物）
item.painting_bird 画作（鸟）
item.painting_undergrowth 画作（地下丛林）
item.structure_save 结构保存
item.structure_load 结构加载
item.structure_latch 结构锁定
item.structure_marker 结构标记
item.structure_noreplace 结构不替换
item.fluid.empty 空流体
item.fluid.water 水
item.fluid.lava 岩浆
item.raygun_death 即死射线枪
item.ice_torch 冰火把
item.arcade_carpet 街机地毯
item.painting_snowman 画作（雪人）
item.big_snowball 大雪球
item.big_snowball.desc 你想堆个雪人吗？
item.snow_boss_base 雪地Boss基座
item.evil_tophat 邪恶高礼帽
item.evil_tophat.desc 可能创造生命。
item.blank_block 空白方块
item.grid_block 网格方块
item.carving_knife 雕刻刀
item.carving_knife.desc 用于雕刻南瓜。
item.spawn_fuzzy 生成毛团怪
item.spawn_fuzzy_green 生成森林毛团怪
item.spawn_fuzzy_ice 生成冰霜毛团怪
item.spawn_hog 生成野猪
item.spawn_skeleton 生成骷髅
item.spawn_wizard 生成巫师
item.spawn_wizard_ice 生成冰霜巫师
item.spawn_mushroomer 生成蘑菇人
item.spawn_nightflyer 生成夜行者
item.spawn_snowman 生成雪人
item.spawn_stone_golem 生成石魔像
item.spawn_yeti 生成雪怪
item.spawn_zombie 生成僵尸
item.spawn_pukeko 生成紫水鸡
item.poo_gem 便便宝石
item.lush_grass 茂盛草地
item.dry_grass 秋季草地
item.grass_tall_autumn 秋季高草
item.grass_tall_lush 茂盛高草
item.terracotta_tiles 赤陶砖
item.ritual_torch 仪式火把
item.spawner_block 刷怪笼
item.sign 告示牌
item.glass_sign 玻璃告示牌
item.screen_sign 屏幕告示牌
item.invisible_sign 隐形告示牌
item.carved_pumpkin 南瓜
item.pumpkin_seed 南瓜种子

item.basic_rod 基础鱼竿
item.basic_rod.desc 用来钓鱼！
item.sturdy_rod 结实鱼竿
item.sturdy_rod.desc 可以钓起更难对付的鱼。
item.obsidian_rod 黑曜石鱼竿
item.obsidian_rod.desc 鱼都怕我。
item.water_walking_potion 水上行走药水
item.water_walking_potion.desc 让你可以在水面行走。
item.crate_potion 宝箱药水
item.crate_potion.desc 提高钓到箱子的概率。
item.fish_fillet 鱼片
item.gormet_fish_fillet 美味鱼片
item.gormet_fish_fillet.desc 真好吃！
item.worm 蚯蚓
item.worm.desc 用作诱饵吸引更稀有的鱼。
item.bug_bait 昆虫诱饵
item.bug_bait.desc 用作诱饵吸引更稀有的鱼。
item.rage_bait 狂怒诱饵
item.rage_bait.desc 吸引更稀有的鱼，但它们会更愤怒。
item.magnetic_bait 磁力诱饵
item.magnetic_bait.desc 提高钓到箱子的概率。
item.fish_catfish 鲶鱼
item.fish_walleye 梭鲈
item.fish_carp 鲤鱼
item.fish_tuna 金枪鱼
item.fish_salmon 鲑鱼
item.fish_murray_cod 墨累鳕鱼
item.fish_herring 鲱鱼
item.fish_minnow 米诺鱼
item.fish_lanternfish 灯笼鱼
item.fish_crystalfin 水晶鳍鱼
item.fish_fangtooth 尖牙鱼
item.fish_blobfish 水滴鱼
item.fish_nautilus 鹦鹉螺
item.fish_smoulderfish 熔火鱼
item.fish_obsidieel 黑曜鳗
item.fish_stonefish 石鱼
item.fish_rainbow_trout 虹鳟
item.packed_dirt 夯实泥土
item.seaweed 海藻
item.lilypad 睡莲叶
item.elevator 电梯
item.elevator.desc 跳跃或潜行以上下移动。

item.logic_wire 逻辑线
item.logic_gate 逻辑门
item.logic_repeater 逻辑中继器
item.logic_not 逻辑非门
item.logic_and 逻辑与门
item.logic_xor 逻辑异或门
item.logic_toggle 逻辑切换器
item.logic_memory 逻辑存储器
item.logic_pixel 逻辑像素
item.painting_wreath 画作（花环）
item.forest_hammer 森林锤
item.forest_hammer.desc 可塑造更坚固的方块。
item.door_locker 门锁器
item.door_locker.desc 锁住门
item.forest_key 森林钥匙
item.forest_key.desc 解锁森林门
item.iron_key 铁钥匙
item.iron_key.desc 解锁普通门
item.jelly_spoon 果冻勺
item.jelly_spoon.desc 允许你穿过森林果冻。
item.spoon_fragment 勺子碎片
item.spoon_fragment.desc 可组合成有用的东西。
item.dungeon_bricks_unstable 不稳定的森林地牢砖
item.dungeon_bricks_unstable.desc 踩上去会崩塌。
item.forest_jelly 森林果冻
item.forest_jelly.desc 有时是固体，有时不是。
item.bone_club 骨棒
item.boimp_potion Boimp药水
item.hanging_vines 垂挂藤蔓
item.hanging_flowers 垂挂花朵
item.myosotis 勿忘我

item_tag.can_place 可放置
item_tag.can_consume 可消耗
item_tag.axe_power 斧力
item_tag.pickaxe_power 镐力
item_tag.swing_speed 攻击冷却
item_tag.hammer 锤
item_tag.cant_mine 无法采掘
item_tag.restores_health 恢复生命
item_tag.melee_damage 近战伤害
item_tag.defence 防御
item_tag.required_ammo 需要弹药
item_tag.ammo 弹药
item_tag.ranged_damage 远程伤害
item_tag.trinket 饰品
item_tag.can_block 可格挡
item_tag.knockback 击退
item_tag.demo_locked 试玩版锁定
settings.field_of_view 视野范围
settings.max_fps 最大帧率
settings.render_distance 渲染距离
settings.mouse_sensitivity 鼠标灵敏度
settings.master_volume 主音量
settings.max_mesh_threads 最大网格线程数
settings.max_mesh_uploads 每帧最大网格上传数
settings.show_control_hints 显示操作提示
settings.auto_scale_ui 自动缩放界面
settings.manual_ui_scale 手动界面缩放
settings.world_volume 世界音量
settings.music_volume 音乐音量
settings.ui_volume 界面/玩家音量
settings.ambient_volume 环境音量
settings.autosave_interval 自动保存间隔（分钟）
settings.autosave_enabled 启用自动保存
settings.autosave_indicator 自动保存提示
settings.panicsave_enabled 崩溃时创建恢复存档
settings.view_bobbing 视角晃动
settings.screen_shake 屏幕震动
settings.allow_noclip 允许穿墙
settings.allow_infinite_item 无限物品
settings.allow_creative_menu 允许创造菜单
settings.allow_godmode 上帝模式
settings.mob_spawning 怪物生成
settings.current_language 当前语言
settings.language_info 请重启游戏以完全应用语言设置。
settings.cave_culling 洞穴剔除
settings.header_basic 基础
settings.vsync 垂直同步
settings.view_bobbing_intensity 晃动强度
settings.header_user_interface 用户界面
settings.header_advanced 高级
settings.pixel_scale 像素缩放
settings.dither_shader 抖动着色器
settings.invert_mouse 反转鼠标
settings.leaf_sway 树叶摆动
settings.dynamic_light 动态光照
settings.disable_launch_message 禁用启动提示
settings.show_day_count 显示天数
settings.infinite_stamina 无限体力
settings.edit_adventure_blocks 编辑冒险方块
settings.disable_mobs 禁用怪物
settings.header_controls 控制
settings.header_keybinds 按键绑定
settings.slab_placement_mode 垂直放置模式
settings.reset_shape_on_swap 切换时重置形状
settings.world_settings 世界权限
settings.player_settings 玩家权限
settings.button_reset_keybinds 重置按键绑定

settings_category.camera 摄像机
settings_category.video 视频
settings_category.audio 音频
settings_category.controls 控制
settings_category.misc 其他
settings_category.keybinds 按键绑定
settings_category.cheats 作弊
settings_category.language 语言

permission.allow_noclip 允许穿墙
permission.allow_infinite_item 无限物品
permission.allow_creative_menu 创造菜单
permission.allow_godmode 上帝模式
permission.instant_break 方块瞬间破坏
permission.infinite_stamina 无限体力
permission.edit_adventure_blocks 编辑冒险方块
permission.enable_pvp 启用PVP

control_hint.open_inventory 打开背包
control_hint.close_inventory 关闭背包
control_hint.close_menu 关闭菜单
control_hint.split_stack 拆分物品堆
control_hint.take_stack 拿取整组
control_hint.drop_one 丢弃一个
control_hint.drop_stack 丢弃整组
control_hint.craft_one 制作一个
control_hint.toggle_creative 切换创造模式
control_hint.use 使用
control_hint.use_item 使用物品
control_hint.place_item 放置物品
control_hint.punch 攻击
control_hint.unequip 取消装备
control_hint.equip 装备
control_hint.change_shape 改变形状
control_hint.show_recipes 显示配方

keybind.move_forward 向前移动
keybind.move_backward 向后移动
keybind.move_left 向左移动
keybind.move_right 向右移动
keybind.fly_down 向下飞行
keybind.fly_up 向上飞行
keybind.jump 跳跃
keybind.noclip 穿墙模式
keybind.place 放置/使用
keybind.punch 攻击
keybind.place_modifier 放置修饰键
keybind.open_inventory 打开背包
keybind.toggle_creative_menu 切换创造菜单
keybind.drop_item 丢弃物品
keybind.drop_modifier 丢弃修饰键
keybind.pause 暂停
keybind.ui_confirm 界面确认
keybind.ui_secondary 界面次要操作
keybind.toggle_debug 切换调试界面
keybind.toggle_profiler 切换性能分析界面
keybind.toggle_fullscreen 切换全屏
keybind.ui_up 界面上
keybind.ui_down 界面下
keybind.ui_left 界面左
keybind.ui_right 界面右
keybind.hotbar1 快捷栏1
keybind.hotbar2 快捷栏2
keybind.hotbar3 快捷栏3
keybind.hotbar4 快捷栏4
keybind.hotbar5 快捷栏5
keybind.hotbar6 快捷栏6
keybind.hotbar7 快捷栏7
keybind.hotbar8 快捷栏8
keybind.hotbar9 快捷栏9
keybind.hotbar10 快捷栏10
keybind.hotbar11 快捷栏11
keybind.hotbar12 快捷栏12
keybind.open_chat 打开聊天
keybind.send_chat 发送消息
keybind.toggle_hud 切换HUD
keybind.take_screenshot 截图
keybind.open_radial 打开环形菜单
keybind.sneak 潜行（需饰品）
keybind.sprint 冲刺（需饰品）
keybind.show_use 显示物品用途
keybind.show_recipe 显示物品配方
keybind.pick_block 选取方块
keybind.scroll_up 向上滚动
keybind.scroll_down 向下滚动
keybind.favourite_item 收藏物品
keybind.fish_left 向左收线
keybind.fish_right 向右收线

ammo.arrow 箭
ammo.rock 石块
ammo.bullet 子弹
ammo.snowball 雪球

effect.poison 中毒
effect.desc.poison 持续受到伤害。
effect.regen 再生
effect.desc.regen 生命值会随时间缓慢恢复。
effect.wet 潮湿
effect.desc.wet 你被水浸湿了。
effect.slowfall 缓降
effect.desc.slowfall 下落速度变慢且不会受到坠落伤害。
effect.fire 着火
effect.desc.fire 你正在燃烧！！！
effect.healcooldown 刚刚治疗
effect.desc.healcooldown 需要稍等片刻才能再次治疗。
effect.freezing 冻结中
effect.desc.freezing 你因寒冷而持续受到伤害。
effect.fast 加速
effect.desc.fast 你的移动速度提高。
effect.slow 减速
effect.desc.slow 你的移动速度降低。
effect.anchored 定身
effect.desc.anchored 你被固定在原地。
effect.frozen 冰冻
effect.desc.frozen 你被冻结，无法行动！
effect.watched 被注视
effect.desc.watched …
effect.flight 飞行
effect.desc.flight 可进行短暂飞行
effect.regen_potion 再生（药水）
effect.desc.regen_potion 你正在缓慢恢复生命值。
effect.armoured 护甲强化
effect.desc.armoured 你的防御提高4点。

effect.concussion 脑震荡
effect.desc.concussion 哎哟！移动速度降低。
effect.snack 小零食
effect.desc.snack 吃了点零食，属性略微提升。
effect.small_meal 小餐
effect.desc.small_meal 吃了一顿小餐，属性小幅提升。
effect.webbed 被缠住
effect.desc.webbed 你被蜘蛛网缠住了。

effect.water_walking 水上行走
effect.desc.water_walking 你可以在水面上行走。
effect.crate_potion 宝箱药水
effect.desc.crate_potion 更高概率钓到箱子。

effect.fast_mining 快速采矿
effect.desc.fast_mining 提高采矿速度。

crafting_station.inventory 徒手制作
crafting_station.work_bench 工作台
crafting_station.furnace 熔炉
crafting_station.anvil 铁砧
crafting_station.decorations 装饰台
crafting_station.potions 炼药台

loading.tip0 敌人只会在自然生成的方块上刷新。
loading.tip1 按下“R”查看物品配方。
loading.tip2 手持方块时按住“R”可改变其形状。
loading.tip3 若留有空闲耕地，作物可能发生变异。
loading.tip4 小心地下和地牢中的陷阱。
loading.tip5 铁轨可以倒置或铺设在墙上。
loading.tip6 火把不会阻止地下怪物生成。
loading.tip7 使用重生指针设置你的重生点。
loading.tip8 迷路时可使用归返药水回家。
loading.tip9 按住CTRL点击物品可将其送入垃圾槽。
loading.tip10 可自动将物品堆叠到附近的箱子中。
loading.tip11 你可以整理背包。
loading.tip12 某些武器可以格挡敌人的攻击。
loading.tip13 使用装饰台制作大量酷炫物品。
loading.tip14 使用燧石和工作台制作工具。
loading.tip15 强力镐可以打通另一侧。
loading.tip16 有时候，直直往下挖是个好主意。
loading.tip17 如果发现BUG，请在Discord上反馈。
loading.tip18 有建议？加入Discord或填写反馈表。
loading.tip19 工具耐久度并不存在，也不会伤害你。
loading.tip20 如果花园里的杂草不清理，它们可能变异……
loading.tip21 按F11切换全屏。
loading.tip22 在Boss战时打篮球可能会有帮助。
loading.tip23 心甜菜可以提升你的最大生命值。
loading.tip24 爆炸箭在近战时非常危险。
loading.tip25 作物只有在浇水后才会生长。

colour.clear 清除
colour.white 白色
colour.grey 浅灰色
colour.dark_grey 深灰色
colour.black 黑色
colour.red 红色
colour.orange 橙色
colour.yellow 黄色
colour.lime 青柠色
colour.green 绿色
colour.turqoise 绿松石色
colour.blue 蓝色
colour.dark_blue 深蓝色
colour.purple 紫色
colour.pink 粉色
colour.light_pink 浅粉色
colour.brown 棕色
colour.algae 藻绿色
colour.moss 苔藓色
colour.forest 森林色
colour.ocean 海洋色
colour.mud 泥土色
colour.clay 黏土色
colour.sand 沙色
colour.powder 粉末色
colour.none 无
colour.orange_sherbet 橙子雪葩色
colour.lemon_yellow 柠檬黄
colour.pale_yellow 淡黄色
colour.mint 薄荷绿
colour.baby_blue 婴儿蓝
colour.lavender 薰衣草色
colour.pastel_pink 粉彩粉
